ANCONA,AN,Marche,22123,20651
ANDALI,CZ,Calabria,10933,8866
ANDALO VALTELLINO,SO,Lombardia,19423,17671
ANDALO,TN,Trentino Alto Adige(P.A.Trento),19295,15800
ANDEZENO,TO,Piemonte,20321,18556
ANDORA,SV,Liguria,16759,14664
ANDORNO MICCA,BI,Piemonte,19218,18141
ANDRANO,LE,Puglia,15213,13874
ANDRATE,TO,Piemonte,18209,17767
ANDREIS,PN,Friuli Venezia Giulia,16104,14767
ANDRETTA,AV,Campania,12120,10136
ANDRIA,BT,Puglia,13134,11031
ANDRIANO .ANDRIAN.,BZ,Trentino Alto Adige(P.A.Bolzano),22111,21496
ANELA,SS,Sardegna,15195,14674
ANFO,BS,Lombardia,18795,16691
ANGERA,VA,Lombardia,22022,20348
ANGHIARI,AR,Toscana,17661,16232
ANGIARI,VR,Veneto,21185,20159
ANGOLO TERME,BS,Lombardia,18053,16544
ANGRI,SA,Campania,15602,13349
ANGROGNA,TO,Piemonte,16270,15009
ANGUILLARA VENETA,PD,Veneto,17198,15569
ANGUILLARA SABAZIA,RM,Lazio,19101,17519
ANNICCO,CR,Lombardia,19410,18286
CASTELLO DI ANNONE,AT,Piemonte,18267,17184
ANNONE DI BRIANZA,LC,Lombardia,22064,20242
ANNONE VENETO,VE,Veneto,17832,16445
ANOIA,RC,Calabria,11853,9589
ANTEGNATE,BG,Lombardia,18467,16292
ANTEY-SAINT-ANDRE',AO,Valle d'Aosta,17822,15390
ANTERIVO .ALTREI.,BZ,Trentino Alto Adige(P.A.Bolzano),20526,18331
LA MAGDELEINE,AO,Valle d'Aosta,18037,16016
ANTICOLI CORRADO,RM,Lazio,16685,16423
FIUGGI,FR,Lazio,16974,15242
ANTIGNANO,AT,Piemonte,19714,18651
ANTILLO,ME,Sicilia,12766,11098
ANTONIMINA,RC,Calabria,11873,10074
ANTRODOCO,RI,Lazio,18779,17088
ANTRONA SCHIERANCO,VB,Piemonte,18343,17344
ANVERSA DEGLI ABRUZZI,AQ,Abruzzo,14906,14256
ANZANO DEL PARCO,CO,Lombardia,22439,20781
ANZANO DI PUGLIA,FG,Puglia,10832,8915
ANZI,PZ,Basilicata,12377,10777
ANZIO,RM,Lazio,18907,17605
ANZOLA DELL'EMILIA,BO,Emilia Romagna,23361,21770
ANZOLA D'OSSOLA,VB,Piemonte,20944,18813
AOSTA,AO,Valle d'Aosta,22045,20581
APECCHIO,PU,Marche,15186,13517
APICE,BN,Campania,12980,11231
APIRO,MC,Marche,16480,15336
